news_source,allsides_url,url,bias_rating
AARP,https://www.allsides.com/node/2831,http://www.aarp.org/,73
ABC News,https://www.allsides.com/node/76,http://abcnews.go.com/,72
About.com,https://www.allsides.com/node/12909,usconservatives.about.com,2690
Abridge News,https://www.allsides.com/node/94892,https://abridgenews.com,2707
Accuracy in Media ,https://www.allsides.com/node/3946,http://www.aim.org,75
ACLU,https://www.allsides.com/node/215,https://www.aclu.org/,72
Adrian Daily Telegram,https://www.allsides.com/node/18915,http://www.mondotimes.com/include/click?id=3021,2690
Ag Journal,https://www.allsides.com/node/18316,http://www.agjournalonline.com/,2690
AJ+,https://www.allsides.com/node/96042,https://www.ajplus.net/,71
Akron News Reporter,https://www.allsides.com/node/18317,http://www.akronnewsreporter.com/,2690
Al Jazeera,https://www.allsides.com/node/11418,https://www.aljazeera.com/,72
AL.com,https://www.allsides.com/node/68976,http://www.al.com,2690
Albany Herald,https://www.allsides.com/node/18324,http://www.albanyherald.com/,2690
Albion Daily Pleaid,https://www.allsides.com/node/18965,http://www.albionpleiad.com/,2690
Alcona Country Review,https://www.allsides.com/node/18966,http://www.mondotimes.com/include/click?id=22487,2690
Alcona County News,https://www.allsides.com/node/18967,http://www.allegannews.com/,2690
Alcona County Review,https://www.allsides.com/node/19103,http://alconareview.com/,2690
Alison Lundergan Grimes,https://www.allsides.com/node/20345,http://alisonforkentucky.com/,71
AllSides,https://www.allsides.com/node/17754,http://www.allsides.com,2707
Alpena Daily News,https://www.allsides.com/node/18968,http://www.mondotimes.com/include/click?id=3025,2690
AlterNet,https://www.allsides.com/node/30647,http://www.alternet.org/,71
American Conservative Union,https://www.allsides.com/node/262,http://conservative.org/,75
American Greatness,https://www.allsides.com/node/94151,https://amgreatness.com/,75
American Press,https://www.allsides.com/node/18188,http://www.americanpress.com/,2690
American Spectator,https://www.allsides.com/node/10792,http://spectator.org/,75
American Thinker,https://www.allsides.com/node/30539,http://www.americanthinker.com/,75
Americans for Democratic Action,https://www.allsides.com/node/2819,http://www.adaction.org,71
Americans for Tax Reform,https://www.allsides.com/node/252,http://www.atr.org/,75
Americus Times Reporter,https://www.allsides.com/node/18327,http://www.americustimesrecorder.com/,2690
Americus Times-Recorder,https://www.allsides.com/node/18782,http://www.americustimesrecorder.com/,2690
Ames Tribune,https://www.allsides.com/node/18470,http://amestrib.com/,2690
Anchorage Daily News,https://www.allsides.com/node/18462,http://www.adn.com/,2690
Andrew Napolitano,https://www.allsides.com/node/32261,,75
Andrew Napolitano,https://www.allsides.com/node/32261,http://www.judgenap.com/,75
Andrew Yang,https://www.allsides.com/node/102410,,72
Andrews Journal,https://www.allsides.com/node/18201,http://www.myandrewsjournal.com/,2690
Andy Ngo,https://www.allsides.com/node/91698,,74
Ann Arbor Journal,https://www.allsides.com/node/18969,http://heritage.com/ann_arbor_journal/,2690
Ann Arbor.com,https://www.allsides.com/node/18970,http://www.mlive.com/ann-arbor/,2690
Ann Coulter,https://www.allsides.com/node/4599,,75
Ann Coulter,https://www.allsides.com/node/4599,http://www.anncoulter.com/,75
Annual Review of Political Science,https://www.allsides.com/node/24697,www.polisci.annualreviews.org,2690
AP,https://www.allsides.com/node/32855,,73
AP,https://www.allsides.com/node/32855,http://ap.org/,73
Aquinas College Saint,https://www.allsides.com/node/18971,http://www.aquinas.edu/thesaint/,71
Arab America News,https://www.allsides.com/node/18974,http://www.arabamericannews.com/news/,2690
Arab American News,https://www.allsides.com/node/19064,http://www.arabamericannews.com/news/,2690
Arenac County Independent,https://www.allsides.com/node/19190,http://www.arenacindependent.com/,2690
Arenec County Independant,https://www.allsides.com/node/18976,http://arenacindependent.com/,2690
Argus Observer,https://www.allsides.com/node/33304,http://www.argusobserver.com/,2690
Arkansas Democrat-Gazette,https://www.allsides.com/node/18665,http://www.arkansasonline.com/,71
Asheville Citizen-Times,https://www.allsides.com/node/18202,http://www.citizen-times.com/,2690
Ashland Daily Press,https://www.allsides.com/node/25318,http://www.apg-wi.com/ashland_daily_press/,2690
Aspen Daily News,https://www.allsides.com/node/18318,http://www.aspendailynews.com/,2690
Aspen Times,https://www.allsides.com/node/18319,http://www.aspentimes.com/,2690
Associated Press,https://www.allsides.com/node/3515,https://apnews.com/,73
Association for Psychological Science,https://www.allsides.com/node/31918,http://www.psychologicalscience.org/,73
Associations Now,https://www.allsides.com/node/31991,http://associationsnow.com/,2690
